EraID,EraNarrative,EventID,EventNarrative,EventDifficulty,OptionID,OptionText,OptionTag,PositiveOutcomeText,NegativeOutcomeText,PositivePS_Change,NegativePS_Change,PositiveStable_Change,NegativeStable_Change
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A season of scarcity descended upon <CityName>, testing unity as food and clean water sources dwindled.",RESOURCE SHORTAGE,O1,sent a scouting party into distant wildlands to search for new sources of food.,Unique,"The scouting band returns carrying new stone samples, maps of fertile groves, and stories of distant herds. Their discoveries ease the tribe’s anxiety and create fresh opportunities for settlement. The people celebrate their bravery beneath torchlight.","The scouts vanish into the deep wilds, never returning. Their absence casts a shadow across the tribe, and parents forbid their children from wandering far as fear spreads and scarcity tightens its grip.",+10,-9,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A season of scarcity descended upon <CityName>, testing unity as food and clean water sources dwindled.",RESOURCE SHORTAGE,O2,"performed a ritual of offering to the earth spirits, praying for more resources.",Unique,"The ritual kindles hope throughout the tribe as the shamans chant into the night. Rain falls lightly the next morning, revealing fresh roots and softening the soil—many believe the spirits have shown mercy.","Despite elaborate rites, the land remains barren. Some accuse the shamans of losing their connection to the spirits, heightening tensions among clans already anxious about survival.",+8,-7,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A season of scarcity descended upon <CityName>, testing unity as food and clean water sources dwindled.",RESOURCE SHORTAGE,O3,consolidated resources by merging all of <CityName>'s stores together temporarily. ,Unique,"Clans place their stores together inside a great longhouse, guarded by representatives from each family. The shared responsibility rekindles unity, ensuring that even meagre portions stretch farther than before.","Mistrust brews when a stash of dried meat goes missing. Accusations erupt, and the fragile alliance fractures overnight as suspicion replaces cooperation.",+9,-8,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A season of scarcity descended upon <CityName>, testing unity as food and clean water sources dwindled.",RESOURCE SHORTAGE,O4,attempted experimental traps to catch larger prey that could be eaten.,Unique,"Through trial and error, the people of <CityName> managed to catch large prey for food using their new tools, allowing hunters and gatherers to work efficiently despite the scarcity.","The newly made traps ended in a disaster, successfully attracting large prey, but not incapacitating them. These new-found predators laid waste to <CityName> causing wide-spread fear that the tribe meddled with nature they do not quite have the power to deal with.",+11,-10,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E1,"A season of scarcity descended upon <CityName>, testing unity as food and clean water sources dwindled.",RESOURCE SHORTAGE,O5,nomadically relocated a portion of <CityName> to follow migrating herds.,Unique,The migrating group establishes temporary camps and returns with cured meats and hides. Their success reduces local strain and inspires stories of promising distant valleys.,"Harsh weather and failed hunts devastate the migrating group. Only a few return, wounded and shaken, warning that wandering too far may doom the tribe.",+7,-6,5,-5
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"Disagreements between clans over traditions, rituals, and ancestral customs threatened to fracture the unity of <CityName>.",CULTURAL SCHISM,O1,held a Great Fire Gathering where all the clans of <CityName> voiced their beliefs. ,Unique,"At the Great Fire Gathering, each clan shares its stories and sacred songs. Differences soften as the tribe recognises the shared roots beneath their customs. Warmth replaces tension.","The gathering erupts into shouting as long‑held grudges surface. Clans storm away from the fire, and the unity meant to be restored fractures even deeper.",+9,-8,1,-1
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"Disagreements between clans over traditions, rituals, and ancestral customs threatened to fracture the unity of <CityName>.",CULTURAL SCHISM,O2,"asked the shamans to conduct a spirit‑walk, seeking guidance from the all-fathers of <CityName>.",Unique,"The shamans return with visions of clan totems walking side by side. Their message of harmony reassures the people, restoring faith that the ancestors favour unity over discord.","The shamans deliver conflicting visions, each claiming a different clan is favoured. Suspicion spreads rapidly, and spiritual uncertainty deepens the divide.",+10,-9,2,-2
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"Disagreements between clans over traditions, rituals, and ancestral customs threatened to fracture the unity of <CityName>.",CULTURAL SCHISM,O3,permitted each clan to freely embrace its customs without interference.,Unique,"Allowed to express their identity openly, clans celebrate their songs, carvings, and rites. Curiosity replaces jealousy as traditions flourish peacefully in parallel.","The clans drift further apart, their symbols and customs becoming walls rather than bridges. Soon, families refuse to share hunts or communal meals.",+8,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"Disagreements between clans over traditions, rituals, and ancestral customs threatened to fracture the unity of <CityName>.",CULTURAL SCHISM,O4,"conducted a symbolic hunt requiring warriors from all clans to cooperate, in an effort to re-unite the clans.",Unique,"The unified hunting band triumphs, returning with abundant game. The shared victory becomes a legend retold around fires, renewing trust among rival clans.",The hunt ends in chaos as miscommunication causes injury and lost prey. The failure becomes a symbol of the tribe’s fractured spirit.,+11,-10,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E2,"Disagreements between clans over traditions, rituals, and ancestral customs threatened to fracture the unity of <CityName>.",CULTURAL SCHISM,O5,gave the youth of the different clans to form a cross‑clan learning circle.,Unique,"Young hunters and gatherers learn each other’s skills, forming friendships that cut across clan boundaries. Their unity inspires cautious optimism among the elders.","Elders interpret the circle as a threat to tradition and forbid participation. The youth grow resentful, widening the generational rift.",+7,-6,5,-5
